iter	Passed	Remaining
892	3518	421
893	3522	417
894	3525	413
895	3534	410
896	3537	406
897	3542	402
898	3546	398
899	3550	394
900	3555	390
901	3584	389
902	3588	385
903	3593	381
904	3596	377
905	3599	373
906	3603	369
907	3607	365
908	3611	361
909	3616	357
910	3620	353
911	3625	349
912	3630	345
913	3634	341
914	3637	337
915	3641	333
916	3645	329
917	3649	325
918	3652	321
919	3656	317
920	3660	313
921	3663	309
922	3667	305
923	3670	301
924	3674	297
925	3678	293
926	3682	289
927	3685	285
928	3689	282
929	3693	278
930	3697	274
931	3701	270
932	3705	266
933	3710	262
934	3715	258
935	3718	254
936	3722	250
937	3726	246
938	3730	242
939	3734	238
940	3738	234
941	3742	230
942	3746	226
943	3749	222
944	3753	218
945	3756	214
946	3760	210
947	3764	206
948	3767	202
949	3770	198
950	3774	194
951	3778	190
952	3781	186
953	3785	182
954	3788	178
955	3791	174
956	3795	170
957	3798	166
958	3801	162
959	3805	158
960	3808	154
961	3812	150
962	3815	146
963	3819	142
964	3822	138
965	3827	134
966	3830	130
967	3833	126
968	3836	122
969	3840	118
970	3843	114
971	3846	110
972	3850	106
973	3854	102
974	3857	98
975	3860	94
976	3863	90
977	3867	86
978	3870	83
979	3873	79
980	3876	75
981	3880	71
982	3883	67
983	3887	63
984	3890	59
985	3894	55
986	3897	51
987	3900	47
988	3904	43
989	3907	39
990	3912	35
991	3915	31
992	3921	27
993	3924	23
994	3928	19
995	3931	15
996	3934	11
997	3938	7
998	3941	3
999	3945	0
